item_id,item_name,quantity_bought,avg_buy_price,quantity_sold,avg_sell_price,total_volume,profit_per_item,profit_margin_pct,estimated_total_profit
24658,Superior Sigil of Serpent Slaying,163.0,337.75,72.0,523.8333333333334,235.0,186.08333333333337,55.09499136442143,13398.000000000004
36053,Superior Sigil of the Night,124.0,4848.4,107.0,6958.0,231.0,2109.6000000000004,43.511261447075334,225727.20000000004
714,Nika's Gloves,113.0,9689.875,113.0,13474.4,226.0,3784.5249999999996,39.05648937679794,427651.32499999995
24473,Emerald Crystal,0.0,,219.0,159.0,219.0,,,
9586,18 Slot Mithril Box,109.0,19282.333333333332,109.0,25480.166666666668,218.0,6197.833333333336,32.142548446764756,675563.8333333336
66933,Foxfire Cluster,0.0,,217.0,247.0,217.0,,,
24583,Superior Sigil of Demons,109.0,651.25,107.0,1155.1818181818182,216.0,503.93181818181824,77.3791659396266,53920.70454545455
44975,Shiverstone,130.0,2948.25,77.0,5239.818181818182,207.0,2291.568181818182,77.72638622295199,176450.75
79786,Steak with Winterberry Sauce,100.0,1407.0,100.0,1926.0,200.0,519.0,36.88699360341152,51900.0
9438,Quality Sharpening Stone,97.0,443.0,97.0,899.3333333333334,194.0,456.33333333333337,103.00978179082017,44264.333333333336
19712,Ancient Wood Plank,0.0,,194.0,495.0,194.0,,,
24732,Superior Rune of Divinity,96.0,3399.0,97.0,5085.0,193.0,1686.0,49.60282436010591,163542.0
96471,Chunk of Petrified Echovald Resin,0.0,,187.0,459.0,187.0,,,
24474,Ruby Crystal,0.0,,184.0,160.0,184.0,,,
102558,Honey Flower,0.0,,181.0,662.4,181.0,,,
97781,Saltspray Staff,125.0,2947.3333333333335,55.0,3696.25,180.0,748.9166666666665,25.40997511875141,41190.41666666666
97676,Spindrift Axe,88.0,2931.5,88.0,5307.8,176.0,2376.3,81.06089032918302,209114.40000000002
12537,Blackberry,0.0,,174.0,89.0,174.0,,,
67183,Ogre Sharpening Stone,86.0,1687.5,86.0,1892.0,172.0,204.5,12.118518518518519,17587.0
86170,Superior Sigil of the Stars,94.0,2475.5,76.0,3437.222222222222,170.0,961.7222222222222,38.84961511703584,73090.88888888889
66524,Nopal,0.0,,169.0,19.0,169.0,,,
102503,Lowland Pine Log,0.0,,169.0,425.25,169.0,,,
66637,Piece of Ambrite,0.0,,167.0,238.0,167.0,,,
26152,Usoku's Needle,91.0,6469.25,74.0,10104.3,165.0,3635.0499999999993,56.18966649920778,268993.69999999995
96673,Saltspray Pistol,110.0,2741.0,55.0,4555.166666666667,165.0,1814.166666666667,66.18630670071751,99779.16666666669
96113,Saltspray Hammer,90.0,2930.6666666666665,59.0,3617.3333333333335,149.0,686.666666666667,23.43039126478618,40513.33333333335
96760,Spindrift Hammer,79.0,2597.3333333333335,65.0,4118.5,144.0,1521.1666666666665,58.56647843942504,98875.83333333333
48884,Pristine Toxic Spore Sample,0.0,,139.0,734.0,139.0,,,
24592,Superior Sigil of Stamina,70.0,603.0,68.0,872.0,138.0,269.0,44.61028192371476,18292.0
96384,Saltspray Mace,77.0,2795.5,56.0,3492.1666666666665,133.0,696.6666666666665,24.92100399451499,39013.33333333333
97041,Jade Bot Core: Tier 2,95.0,30299.833333333332,37.0,47717.2,132.0,17417.366666666665,57.48337449600932,644442.5666666667
103279,Charged Titan Ore,0.0,,132.0,435.3333333333333,132.0,,,
91796,Cultivated Clove,0.0,,131.0,3379.8333333333335,131.0,,,
24601,Superior Sigil of Battle,64.0,688.0,65.0,932.25,129.0,244.25,35.50145348837209,15876.25
97434,Spindrift Staff,77.0,2815.5,51.0,5098.75,128.0,2283.25,81.09572012076008,116445.75
12544,Ghost Pepper,0.0,,128.0,203.0,128.0,,,
67531,Bountiful Sharpening Stone,69.0,2091.0,58.0,2988.0,127.0,897.0,42.89813486370158,52026.0
24762,Superior Rune of the Krait,63.0,25564.8,63.0,34066.71428571428,126.0,8501.914285714283,33.256330132503614,535620.5999999999
28262,Éibhear Dunn,81.0,2119.6666666666665,45.0,3740.6,126.0,1620.9333333333334,76.47114326151912,72942.0
91768,Varietal Clove Seed,0.0,,125.0,71.0,125.0,,,
83545,Pitcher of Desert-Spiced Coffee,0.0,,123.0,716.0,123.0,,,
70772,Recipe: Svaard's Masque,72.0,26.0,50.0,3106.25,122.0,3080.25,11847.115384615385,154012.5
12534,Clove,0.0,,121.0,69.0,121.0,,,
75915,Recipe: Svaard's Visor,78.0,33.0,43.0,4171.4375,121.0,4138.4375,12540.719696969696,177952.8125
96290,Spindrift Greatsword,60.0,3088.3333333333335,60.0,5066.2,120.0,1977.8666666666663,64.04317323259578,118671.99999999999
12396,Plate of Coriander Crusted Meat Dinner,0.0,,120.0,401.0,120.0,,,
27328,Ebonblade,64.0,3753.3333333333335,54.0,6509.8,118.0,2756.4666666666667,73.4404973357016,148849.2
97244,Saltspray Focus,59.0,2816.0,59.0,3695.0,118.0,879.0,31.214488636363637,51861.0
12244,Oregano Leaf,0.0,,117.0,321.0,117.0,,,
24639,Superior Sigil of Paralyzation,60.0,52303.333333333336,55.0,65450.142857142855,115.0,13146.80952380952,25.135701084334052,723074.5238095236
12509,Seaweed,0.0,,114.0,277.0,114.0,,,
12547,Saffron Thread,0.0,,111.0,360.0,111.0,,,
24597,Superior Sigil of Hydromancy,55.0,1028.0,56.0,1392.0,111.0,364.0,35.40856031128405,20384.0
571,Berserker's Seer Boots of the Dolyak,55.0,2277.0,55.0,2909.0,110.0,632.0,27.755819060166885,34760.0
24711,Superior Rune of Vampirism,55.0,595.0,55.0,899.5,110.0,304.5,51.17647058823529,16747.5
24471,Sunstone Nugget,0.0,,110.0,1497.0,110.0,,,
44977,Cobalt,59.0,3224.0,46.0,5414.833333333333,105.0,2190.833333333333,67.95388751033911,100778.33333333331
94413,Giver's Candy Cane Rifle of Concentration,52.0,4513.5,52.0,7439.1,104.0,2925.6000000000004,64.81887670322367,152131.2
24561,Superior Sigil of Rage,51.0,311.6666666666667,51.0,451.25,102.0,139.58333333333331,44.78609625668448,7118.749999999999
12505,Asparagus Spear,0.0,,99.0,299.0,99.0,,,
27338,Dhuumseal,61.0,2341.3333333333335,37.0,5515.0,98.0,3173.6666666666665,135.54954441913438,117425.66666666666
74268,Mini Professor Mew,0.0,,97.0,10.25,97.0,,,
79638,Jailbroken,50.0,3705.6666666666665,46.0,7338.333333333333,96.0,3632.6666666666665,98.03004407663937,167102.66666666666
75241,Flax Fiber,0.0,,96.0,167.0,96.0,,,
97535,Scavenger Protocol: Magic Trophies,47.0,71654.66666666667,47.0,90009.0,94.0,18354.33333333333,25.614986695446675,862653.6666666664
79776,Winterberry Sorbet,47.0,528.0,47.0,771.0,94.0,243.0,46.02272727272727,11421.0
43358,Kralkachocolate Bar,0.0,,90.0,54.5,90.0,,,
24776,Superior Rune of Lyssa,44.0,353.0,44.0,447.0,88.0,94.0,26.628895184135974,4136.0
12329,Yam,0.0,,88.0,53.0,88.0,,,
66522,Prickly Pear,0.0,,87.0,650.8571428571429,87.0,,,
94411,Giver's Candy Cane Shield of Concentration,43.0,3626.3333333333335,43.0,8443.4,86.0,4817.066666666666,132.83573857891346,207133.86666666664
95864,Jade Bot Core: Tier 5,47.0,114993.4,38.0,152596.5,85.0,37603.100000000006,32.70022453462547,1428917.8000000003
95634,Crucible,45.0,3053.5,39.0,5808.875,84.0,2755.375,90.2366137219584,107459.625
100054,Viper's Abomination Torch,49.0,52931.0,32.0,70420.38461538461,81.0,17489.38461538461,33.04185565242412,559660.3076923075
19976,Mystic Coin,80.0,18051.0,0.0,,80.0,,,
77040,Recipe: Svaard's Striders,48.0,209.5,31.0,2469.7,79.0,2260.2,1078.854415274463,70066.2
72315,Maguuma Burl,0.0,,78.0,1266.0,78.0,,,
96403,Gate of Heaven,39.0,3959.5,39.0,4697.0,78.0,737.5,18.62608915267079,28762.5
95582,Scavenger Protocol: Might Trophies,44.0,76753.28571428571,31.0,95186.57142857143,75.0,18433.285714285725,24.016282225237465,571431.8571428575
2070,Berserker's Seer Gloves of Vampirism,44.0,2163.0,31.0,2807.0,75.0,644.0,29.773462783171524,19964.0
